,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
2977,Dog Senior Citizen or Disability Spayed Female,POMERANIAN,BLACK,JAZZY,15229,2017,1/30/2017 15:22
2978,Dog Individual Spayed Female,MIXED,BLACK,RENO,15068,2017,12/12/2016 13:34
2979,Dog Individual Neutered Male,GER SHEPHERD MIX,BROWN,FRISCO,15106,2017,2/17/2017 11:20
2980,Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK,SOPHIE,15108,2017,2/16/2017 16:23
2981,Dog Individual Male,POMERANIAN,SABLE,DAKOTA,15101,2017,2/24/2017 8:33
2982,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,ROSIE LELAN,15035,2017,1/4/2017 9:01
2983,Dog Individual Neutered Male,GER SHEPHERD MIX,BROWN,SAM,15237,2017,2/1/2017 14:35
2984,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BROWN,NAYLA,15057,2017,1/4/2017 15:56
2985,Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK/BROWN,CLOVER,15045,2017,12/29/2016 15:33
2986,Dog Senior Citizen or Disability Spayed Female,BOXER MIX,BRINDLE,BRINDI,15018,2017,1/5/2017 16:35
2987,Dog Individual Female,PUG,BROWN,SIDNEY BEAN,15065,2017,2/28/2017 16:01
2988,Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,CHOCOLATE,BELLA,15214,2017,1/31/2017 9:15
2989,Dog Individual Male,SIB HUSKY,SABLE,KASEY,15017,2017,12/14/2016 16:17
2990,Dog Individual Male,MIXED,BRINDLE,FRANK,15239,2017,12/23/2016 14:47
2991,Dog Senior Citizen or Disability Neutered Male,BEAGLE,WHITE/BLACK/BROWN,HUEY,15221,2017,12/20/2016 8:44
2992,Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK/BROWN,NISMO,15102,2017,1/5/2017 10:05
2993,Dog Senior Citizen or Disability Spayed Female,PAPILLON,WHITE/BROWN,PENNY,15014,2017,12/14/2016 12:23
2994,Dog Individual Spayed Female,LAB MIX,BLACK/BROWN,LUNAH,15147,2017,1/10/2017 16:19
2995,Dog Individual Spayed Female,LAB MIX,BLACK/BROWN,DUSTY,15065,2017,12/19/2016 15:58
2996,Dog Senior Citizen or Disability Spayed Female,VIZSLA,BROWN,PEANUT,15139,2017,12/15/2016 16:01
2997,Dog Individual Neutered Male,GOLDEN RETRIEVER,RED,BUDDY,15243,2017,12/1/2016 10:48
2998,Dog Senior Citizen or Disability Spayed Female,MIXED,BROWN,JOY,15227,2017,12/9/2016 8:58
2999,Dog Individual Spayed Female,BEAGLE MIX,BROWN,KAYLA,15044,2017,12/30/2016 11:42
3000,Dog Individual Spayed Female,COLLIE MIX,WHITE/BLACK,ZIPPY,15239,2017,1/6/2017 8:40
3001,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,BENET,15243,2017,1/6/2017 14:43
3002,Dog Senior Citizen or Disability Male,SHETLAND SHEEPDOG,WHITE/BROWN,TYLER,15102,2017,12/14/2016 8:40
3003,Dog Senior Citizen or Disability Neutered Male,SILKY TERRIER,WHITE/BLACK/BROWN,COLBY,15025,2017,12/28/2016 16:31
3004,Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BROWN,KERI,15235,2017,2/7/2017 13:31
3005,Dog Individual Neutered Male,MIXED,BROWN,SAM,15108,2017,12/23/2016 8:44
3006,Dog Individual Spayed Female,GOLDEN RETRIEVER,GOLD,BUFFY,15228,2017,1/19/2017 16:15
3007,Dog Individual Spayed Female,BICHON FRISE,WHITE,PEACHES,15044,2017,3/3/2017 9:11
3008,Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,REMINGTON,15101,2017,2/13/2017 14:03
3009,Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,LILY,15017,2017,1/9/2017 14:19
3010,Dog Individual Neutered Male,ROTTWEILER,BLACK/BROWN,WHOZUR,15133,2017,1/6/2017 8:41
3011,Dog Senior Citizen or Disability Neutered Male,POODLE MIX,WHITE,MAXWELL,15108,2017,1/12/2017 9:36
3012,Dog Individual Neutered Male,BRITTANY SPANIEL,WHITE/LIVER,COOPER,15239,2017,1/9/2017 16:01
3013,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,BROWN,XENA,15133,2017,1/30/2017 8:35
3014,Dog Senior Citizen or Disability Neutered Male,JACK RUSSEL TERRIER,WHITE/BROWN,TAZ,15045,2017,12/1/2016 10:48
3015,Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,BUDDY,15068,2017,12/14/2016 9:08
3016,Dog Senior Citizen or Disability Female,LAB MIX,WHITE/BLACK,LADY,15084,2017,1/24/2017 9:02
3017,Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,ABBIE,15084,2017,2/6/2017 16:20
3018,Dog Individual Neutered Male,GREYHOUND,FAWN,FINN,15090,2017,1/4/2017 8:38
3019,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,BLACK,BARON,15228,2017,3/3/2017 8:36
3020,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,WHITE/BLACK,SHULTZ,15228,2017,3/3/2017 8:36
3021,Dog Individual Spayed Female,GER SHEPHERD MIX,BLONDE,HONEY,15221,2017,12/9/2016 8:58
3022,Dog Individual Spayed Female,LAB MIX,BROWN,MULLY,15090,2017,3/16/2017 15:52
3023,Dog Senior Citizen or Disability Male,MIXED,WHITE/BLACK,CHARLIE,15146,2017,12/14/2016 8:40
3024,Dog Individual Female,SIB HUSKY,WHITE/TAN,CLOVER,15025,2017,3/3/2017 9:11
3025,Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK/BRINDLE,BARNEY,15129,2017,12/15/2016 14:50
3026,Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BROWN,ZEKE,15035,2017,1/26/2017 13:23
3027,Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BROWN,PEPE JACK,15122,2017,2/10/2017 15:41
3028,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERR MIX,BLUE/GOLD,LITTLE TITAN,15238,2017,1/9/2017 15:16
3029,Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,BRADY,15236,2017,1/11/2017 11:27
3030,Dog Individual Neutered Male,CHIHUAHUA MIX,TAN,BRUNO,15090,2017,12/28/2016 16:14
3031,Dog Individual Neutered Male,CHIHUAHUA MIX,TAN,BAXTER,15090,2017,12/28/2016 16:14
3032,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,MATTY,15129,2017,12/14/2016 9:27
3033,Dog Senior Citizen or Disability Neutered Male,DACHSHUND,TAN,NEWTON,15135,2017,1/9/2017 16:02
3034,Dog Senior Citizen or Disability Neutered Male,BOSTON TERRIER,BRINDLE,ROCKY,15202,2017,1/13/2017 9:50
3035,Dog Individual Neutered Male,AM PITT BULL MIX,BROWN/GOLD,TUFFY,15221,2017,2/27/2017 13:21
3036,Dog Individual Neutered Male,PUG,BLACK,EL GUAPO,15064,2017,2/16/2017 15:02
3037,Dog Individual Male,MALTESE,WHITE,LITTLE BIT,15102,2017,12/30/2016 10:17
3038,Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,HARLEY,15146,2017,2/24/2017 15:28
3039,Dog Individual Neutered Male,GER SHORTHAIR POINT,SPOTTED,TOBY,15025,2017,12/9/2016 10:27
3040,Dog Individual Spayed Female,GER SHEPHERD MIX,BRINDLE,RIPPLE,15037,2017,12/19/2016 15:28
3041,Dog Individual Neutered Male,MIXED,BLACK/BROWN,BENTLEY,15228,2017,12/12/2016 15:32
3042,Dog Individual Neutered Male,MIXED,BLACK/BROWN,BENTLEY,15228,2017,12/12/2016 15:32
3043,Dog Individual Neutered Male,MIXED,BLACK/BROWN,BENTLEY,15228,2017,12/12/2016 15:32
3044,Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,ROSIE,15241,2017,12/19/2016 8:49
3045,Dog Senior Citizen or Disability Spayed Female,PUG,TAN,XEVA,15084,2017,1/18/2017 16:11
3046,Dog Senior Citizen or Disability Female,MIXED,WHITE/BLACK/BROWN,MAGGIE,15057,2017,1/3/2017 8:39
3047,Dog Senior Citizen or Disability Female,MIXED,WHITE/BLACK/BROWN,LADY,15057,2017,1/3/2017 8:39
3048,Dog Individual Spayed Female,PARSON RUSSELL TERR,TAN,GRACIE,15024,2017,1/6/2017 8:40
3049,Dog Individual Neutered Male,COCKAPOO,BROWN,WICKET,15237,2017,12/12/2016 16:17
3050,Dog Individual Neutered Male,ROTTWEILER,BLACK/BROWN,CASH,15144,2017,12/14/2016 16:17
3051,Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,DOOLEY,15146,2017,1/27/2017 16:02
3052,Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BROWN,MOLLY,15241,2017,1/10/2017 16:34
3053,Dog Senior Citizen or Disability Neutered Male,CAV KING CHAR SPANI,WHITE/RED,MARTY,15037,2017,12/22/2016 8:40
3054,Dog Senior Citizen or Disability Neutered Male,CAV KING CHAR SPANI,WHITE/RED,MARTY,15037,2017,12/22/2016 8:40
3055,Dog Senior Citizen or Disability Spayed Female,CAV KING CHAR SPANI,WHITE/RED,MOLLY,15037,2017,12/22/2016 8:40
3056,Dog Senior Citizen or Disability Spayed Female,CAV KING CHAR SPANI,WHITE/RED,IDGIE,15037,2017,12/22/2016 8:40
3057,Dog Senior Citizen or Disability Spayed Female,CAV KING CHAR SPANI,WHITE/RED,IDGIE,15037,2017,12/22/2016 8:40
3058,Dog Senior Citizen or Disability Male,CAV KING CHAR SPANI,BLACK,MAX,15037,2017,12/22/2016 8:40
3059,Dog Senior Citizen or Disability Neutered Male,CAV KING CHAR SPANI,BLACK,MAX,15037,2017,12/22/2016 8:40
3060,Dog Senior Citizen or Disability Neutered Male,CAV KING CHAR SPANI,SPOTTED,DEXTER,15037,2017,12/22/2016 8:40
3061,Dog Senior Citizen or Disability Neutered Male,CAV KING CHAR SPANI,SPOTTED,DEXTER,15037,2017,12/22/2016 8:40
3062,Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,SOFIE,15205,2017,12/29/2016 15:33
3063,Dog Individual Spayed Female,CHIHUAHUA,WHITE/BROWN,HEIDI,15227,2017,12/2/2016 11:42
3064,Dog Senior Citizen or Disability Spayed Female,MIXED,BRINDLE,MADDIE,15243,2017,1/17/2017 15:35
3065,Dog Individual Neutered Male,AM PIT BULL TERRIER,BROWN,ZEUS,15235,2017,12/15/2016 16:07
3066,Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,SPECKS,15216,2017,12/21/2016 8:44
3067,Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,SADIE,15227,2017,12/13/2016 13:52
3068,Dog Individual Spayed Female,POODLE TOY,BLACK,HARLEY,15068,2017,12/29/2016 8:43
3069,Dog Individual Spayed Female,MIXED,BLACK/BROWN,BELLA,15209,2017,2/28/2017 8:44
3070,Dog Individual Spayed Female,ST BERNARD,WHITE/BLACK/BROWN,BELLE,15037,2017,1/10/2017 13:18
3071,Dog Individual Spayed Female,ST BERNARD,WHITE/BLACK/BROWN,UNA,15037,2017,1/10/2017 13:18
3072,Dog Individual Spayed Female,ST BERNARD,WHITE/BLACK/BROWN,FRECKLES,15037,2017,1/10/2017 13:18
3073,Dog Senior Citizen or Disability Male,YORKSHIRE TERRIER,BLACK/BROWN,CHARLIE,15101,2017,1/6/2017 8:40
3074,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,CHARLIE,15101,2017,1/6/2017 8:40
3075,Dog Individual Neutered Male,DACHSHUND,BROWN/TAN,BUDDY,15218,2017,12/1/2016 10:48
3076,Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,SAMPSON,15228,2017,1/18/2017 9:06
3077,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,SPOTTED,ANGEL,15239,2017,12/12/2016 16:17
3078,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,BLACK,BLACKIE,15239,2017,12/12/2016 16:17
3079,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,WHITE/BLACK,SPIRIT,15239,2017,12/12/2016 16:17
3080,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BLACK/BROWN,BLAZE,15239,2017,12/12/2016 16:17
3081,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,BLACK/BROWN,GRACE,15239,2017,12/12/2016 16:17
3082,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,BROWN,DIAMOND,15239,2017,12/12/2016 16:17
3083,Dog Senior Citizen or Disability Male,GER SHEPHERD MIX,WHITE/BLACK,MR. WINTERS,15014,2017,2/24/2017 9:09
3084,Dog Senior Citizen or Disability Male,MIN PINSCHER,BROWN/TAN,ATTICUS FINCH,15014,2017,2/24/2017 9:09
3085,Dog Senior Citizen or Disability Spayed Female,LHASA APSO,SPOTTED,MILK SHAKE,15241,2017,1/17/2017 12:33
3086,Dog Individual Spayed Female,POMERANIAN MIX,WHITE,MADDIE,15044,2017,2/28/2017 8:44
3087,Dog Individual Spayed Female,BOSTON TERRIER,WHITE/BLACK,TESSA,15065,2017,1/10/2017 16:34
3088,Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,SPOTTED,ABBEY,15101,2017,12/29/2016 14:19
3089,Dog Individual Spayed Female,GREYHOUND,WHITE/TAN,DESIREE,15145,2017,2/10/2017 16:17
3090,Dog Individual Spayed Female,SHIH TZU,WHITE/BLACK,BRANDY,15133,2017,1/4/2017 15:49
3091,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,WHITE/BLACK/BROWN,AUGGIE,15228,2017,12/28/2016 15:34
3092,Dog Individual Neutered Male,BOSTON TERRIER,WHITE/BLACK,FRANK JEFFCOAT,15235,2017,3/14/2017 8:49
3093,Dog Individual Neutered Male,COCKAPOO,APRICOT,HARRY,15139,2017,1/10/2017 15:54
3094,Dog Senior Citizen or Disability Male,CHIHUAHUA,BROWN/TAN,CHICO,15025,2017,2/21/2017 15:34
3095,Dog Senior Citizen or Disability Neutered Male,COCKAPOO,BUFF,DUSTY,15236,2017,1/31/2017 9:15
3096,Dog Individual Neutered Male,LAB MIX,WHITE/BROWN,BO,15148,2017,1/3/2017 16:34
3097,Dog Individual Neutered Male,COLLIE MIX,BLACK/BROWN,TAZ,15235,2017,12/15/2016 8:37
3098,Dog Individual Female,MALTESE,WHITE,SUGAR,15024,2017,12/14/2016 16:17
3099,Dog Individual Neutered Male,BEAGLE,MULTI,SASHA,15221,2017,12/12/2016 13:34
3100,Dog Individual Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK,SKIPPY,15071,2017,3/6/2017 16:28
3101,Dog Individual Neutered Male,LABRADOR RETRIEVER,CREAM,BENJAMIN BUFORD BLU,15037,2017,2/14/2017 14:34
3102,Dog Individual Neutered Male,MIXED,BROWN,HENRY,15146,2017,12/16/2016 9:29
3103,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,MISSY,15239,2017,12/13/2016 16:03
3104,Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD MIX,BLACK/BROWN,JAKE,15239,2017,12/13/2016 16:03
3105,Dog Individual Spayed Female,PEEKAPOO,MULTI,CUPCAKE ROSE,15101,2017,12/5/2016 16:06
3106,Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK,RILEY,15136,2017,1/9/2017 16:01
3107,Dog Individual Male,DALMATIAN,SPOTTED,GENO,15037,2017,1/13/2017 16:25
3108,Dog Individual Neutered Male,POODLE STANDARD,BLACK,MAX,15044,2017,12/14/2016 8:40
3109,Dog Senior Citizen or Disability Spayed Female,SCHNAUZER MIN,BLACK/GREY,MIA,15037,2017,1/24/2017 9:02
3110,Dog Individual Neutered Male,MIXED,BRINDLE,SPARTAN,15205,2017,2/1/2017 9:19
3111,Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD MIX,WHITE/BLACK/BROWN,STETSON,15108,2017,12/8/2016 16:23
3112,Dog Senior Citizen or Disability Neutered Male,DOBERMAN PINSCHER,BLACK/TAN,BYRON,15046,2017,12/13/2016 8:34
3113,Dog Individual Neutered Male,SHIH TZU,WHITE/BROWN,CODY,15131,2017,1/10/2017 15:55
3114,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/TAN,MOLLY,15044,2017,1/18/2017 9:07
3115,Dog Individual Neutered Male,MIXED,BLACK/BROWN,COOPER,15090,2017,12/7/2016 15:42
3116,Dog Individual Spayed Female,BORD COLLIE,WHITE/BLACK,LULU,15147,2017,1/9/2017 16:02
3117,Dog Individual Neutered Male,LAB MIX,WHITE/BLACK/BROWN,BANDIT,15017,2017,3/9/2017 15:02
3118,Dog Individual Spayed Female,LAB MIX,BLACK,ABBY,15037,2017,12/23/2016 14:35
3119,Dog Individual Neutered Male,SHIH TZU,WHITE,CHEWIE,15135,2017,12/5/2016 9:46
3120,Dog Senior Citizen or Disability Neutered Male,AM TOY TERRIER,WHITE/BLACK,SPENCER,15063,2017,1/10/2017 13:18
3121,Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,TAN,TOBY,15202,2017,12/8/2016 15:50
3122,Dog Individual Neutered Male,LABRADOR RETRIEVER,GREY,NIMOSH,15084,2017,3/22/2017 8:39
3123,Dog Individual Neutered Male,MIXED,BLACK/BROWN,KOA,15139,2017,12/1/2016 10:26
3124,Dog Individual Neutered Male,SHIH TZU,BROWN,KORKIE,15237,2017,1/9/2017 11:07
3125,Dog Senior Citizen or Disability Spayed Female,POODLE MIN,CREAM,EMILY,15102,2017,12/29/2016 12:21
3126,Dog Senior Citizen or Disability Neutered Male,LABRADOR RETRIEVER,BROWN,ROONEY,15120,2017,1/5/2017 10:04
3127,Dog Individual Neutered Male,SHETLAND SHEEP MIX,BLACK/TAN,JESSE JAMES,15084,2017,12/23/2016 9:12
3128,Dog Senior Citizen or Disability Neutered Male,SHETLAND SHEEP MIX,BLACK/TAN,JESSE JAMES,15084,2017,12/23/2016 9:12
3129,Dog Individual Spayed Female,BISHON FRISE MIX,BEIGE,GINGER,15120,2017,12/16/2016 16:25
3130,Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK,BUDDY,15024,2017,12/14/2016 9:27
3131,Dog Individual Spayed Female,YORKSHIRE TERRIER,BLUE,COCO,15145,2017,3/3/2017 10:51
3132,Dog Senior Citizen or Disability Spayed Female,DACHSHUND MIX,BROWN,COCO,15241,2017,1/6/2017 14:43
3133,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BROWN/TAN,RUFFUS,15065,2017,2/3/2017 16:13
3134,Dog Senior Citizen or Disability Female,YORKSHIRE TERRIER,BROWN/TAN,CARMEN,15065,2017,2/3/2017 16:13
3135,Dog Individual Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,BAXTER,15034,2017,2/21/2017 12:06
3136,Dog Individual Spayed Female,HOUND MIX,SPOTTED,SUGAR,15241,2017,12/6/2016 16:07
3137,Dog Senior Citizen or Disability Male,ALAS MALAMUTE,SABLE,KELO,15132,2017,12/19/2016 8:21
3138,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,GRACIE,15102,2017,1/9/2017 8:39
3139,Dog Individual Spayed Female,MIXED,BLACK/BROWN,MISSY,15037,2017,1/18/2017 8:42
3140,Dog Individual Spayed Female,MIXED,BROWN,MOLLY,15146,2017,1/24/2017 14:51
3141,Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,ZOEY,15237,2017,2/24/2017 15:16
3142,Dog Individual Spayed Female,BOXER,BROWN,BAILEY,15106,2017,3/14/2017 16:06
3143,Dog Senior Citizen or Disability Spayed Female,POODLE STANDARD,BROWN,LIBBY,15215,2017,12/15/2016 12:28
3144,Dog Individual Neutered Male,WEIMARANER,GREY,BENTLEY,15126,2017,12/6/2016 16:08
3145,Dog Individual Neutered Male,MIXED,BLACK/GOLD,SMOKEY,15101,2017,12/15/2016 11:32
3146,Dog Individual Neutered Male,GOLDEN RETRIEVER,YELLOW,STARBUCK,15108,2017,1/3/2017 8:58
3147,Dog Senior Citizen or Disability Spayed Female,DACHSHUND MIX,BROWN,HERSHEY,15236,2017,1/26/2017 10:03
3148,Dog Senior Citizen or Disability Female,DACHSHUND,BROWN,KAYLA,15223,2017,12/14/2016 8:40
3149,Dog Individual Spayed Female,BLUE HEELER,BLACK,BELLA,15037,2017,2/7/2017 8:54
3150,Dog Individual Neutered Male,HOUND MIX,MULTI,COLBY,15241,2017,2/3/2017 15:52
3151,Dog Senior Citizen or Disability Neutered Male,PEKINGESE,BLONDE,PETER PIPER,15235,2017,2/24/2017 8:34
3152,Dog Senior Citizen or Disability Male,BEAGLE,WHITE/BLACK/BROWN,JACK,15108,2017,1/10/2017 16:19
3153,Dog Individual Spayed Female,YORKSHIRE TERRIER,BROWN,NOEL,15108,2017,12/6/2016 16:08
3154,Dog Individual Spayed Female,POMERANIAN,BLACK/TAN,MACIE,15108,2017,12/13/2016 15:54
3155,Dog Individual Spayed Female,POMERANIAN,BLACK/TAN,MACIE,15108,2017,12/13/2016 15:54
3156,Dog Senior Citizen or Disability Neutered Male,LHASA APSO,GOLD/RED,TYSON,15237,2017,2/22/2017 14:26
3157,Dog Senior Citizen or Disability Neutered Male,CAIRN TERRIER,WHEATON,RUSTY,15047,2017,12/19/2016 15:28
3158,Dog Individual Neutered Male,MIXED,BLACK,DUKE,15137,2017,1/23/2017 8:42
3159,Dog Individual Spayed Female,GOLDENDOODLE,GOLD/RED,MARLEY,15108,2017,12/14/2016 12:40
3160,Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,ABBY,15101,2017,12/9/2016 9:00
3161,Dog Individual Spayed Female,GOLDENDOODLE,GOLD,LILY,15228,2017,3/7/2017 15:02
3162,Dog Individual Spayed Female,FOX TERRIER TOY,WHITE/BLACK,MINDY,15237,2017,12/20/2016 8:54
3163,Dog Individual Female,MALTESE,WHITE,LILLY,15037,2017,2/23/2017 10:05
3164,Dog Senior Citizen or Disability Spayed Female,DACHSHUND,BLACK/BROWN,CHLOE,15235,2017,2/10/2017 8:37
3165,Dog Senior Citizen or Disability Spayed Female,SHIH TZU MIX,WHITE,JOANIE LOU,15106,2017,1/17/2017 12:33
3166,Dog Individual Male,GOLDEN RETRIEVER,GOLD,JAKE,15146,2017,12/8/2016 16:26
3167,Dog Individual Spayed Female,YORKSHIRE TERR MIX,BROWN,LEXI,15057,2017,2/21/2017 15:47
3168,Dog Individual Neutered Male,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,BEANERZ,15140,2017,2/24/2017 15:28
3169,Dog Individual Neutered Male,MALTESE MIX,TAN,GIZMO,15057,2017,12/12/2016 16:17
3170,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/BROWN,BELLA,15239,2017,2/13/2017 16:01
3171,Dog Individual Male,COLLIE,MULTI,SHADOW,15106,2017,12/6/2016 16:08
3172,Dog Individual Neutered Male,COLLIE,MULTI,SHADOW,15106,2017,12/6/2016 16:08
3173,Dog Individual Neutered Male,LAB MIX,BROWN,SURGE,15146,2017,2/10/2017 16:17
3174,Dog Individual Spayed Female,SHETLAND SHEEPDOG,WHITE/TAN,SOPHIA,15090,2017,12/16/2016 9:08
3175,Dog Individual Neutered Male,GOLDENDOODLE,GOLD,JOEY,15238,2017,12/6/2016 16:07
3176,Dog Individual Neutered Male,GREYHOUND,BRINDLE,RUGER,15108,2017,12/13/2016 14:17
3177,Dog Individual Spayed Female,GER SHEPHERD MIX,TAN,BEE BEE,15236,2017,1/27/2017 10:06
3178,Dog Individual Spayed Female,GER SHEPHERD,BLACK,ONYX,15135,2017,1/25/2017 9:03
3179,Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,FINN,15241,2017,3/10/2017 13:58
3180,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,WILLIE,15101,2017,12/13/2016 15:24
3181,Dog Individual Neutered Male,GOLDEN RETRIEVER,WHITE,MAZ,15241,2017,3/6/2017 8:45
3182,Dog Individual Neutered Male,GOLDEN RETRIEVER,WHITE,KENAI,15241,2017,3/6/2017 8:45
3183,Dog Individual Spayed Female,BOSTON TERRIER,SPOTTED,VICKY,15106,2017,12/6/2016 16:07
3184,Dog Senior Citizen or Disability Spayed Female,BOXER,BROWN,BEACH,15102,2017,12/8/2016 10:10
3185,Dog Individual Spayed Female,CHES BAY RETRIEVER,BROWN,MOLLY,15037,2017,3/27/2017 14:51
3186,Dog Senior Citizen or Disability Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,BLUE,15238,2017,2/13/2017 16:12
3187,Dog Individual Neutered Male,PAPILLON,SPOTTED,COOPER,15147,2017,2/7/2017 10:36
3188,Dog Senior Citizen or Disability Neutered Male,COCKER SPANIEL,TAN,GEORGE BAILEY,15220,2017,12/8/2016 14:18
3189,Dog Individual Spayed Female,WEIMARANER,OTHER,JESSE,15044,2017,1/13/2017 16:25
3190,Dog Individual Female,WEIMARANER,OTHER,JESSE,15044,2017,1/13/2017 16:25
3191,Dog Individual Spayed Female,GOLDEN RETRIEVER,BROWN,SAMMY,15238,2017,1/13/2017 15:02
3192,Dog Individual Neutered Male,GER SHEPHERD,BROWN,BEAR,15122,2017,3/8/2017 15:53
3193,Dog Individual Neutered Male,SHIH TZU,WHITE,BUDDY,15122,2017,3/9/2017 16:27
3194,Dog Individual Neutered Male,WEIMARANER,GREY,GUINNESS,15090,2017,1/13/2017 15:02
3195,Dog Individual Spayed Female,WEIMARANER,BROWN,LANEY,15068,2017,1/10/2017 11:49
3196,Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,WHITE/BLACK,MAGGIE MAE,15139,2017,12/16/2016 8:40
3197,Dog Individual Spayed Female,LAB MIX,BROWN,SIDNEY,15017,2017,12/15/2016 10:16
3198,Dog Individual Spayed Female,MIXED,WHITE,KIKI,15332,2017,12/6/2016 8:36
3199,Dog Individual Neutered Male,YORKSHIRE TERR MIX,BLACK,SAMUEL,15132,2017,1/6/2017 8:41
3200,Dog Individual Spayed Female,LAB MIX,WHITE,VIVA,15202,2017,1/24/2017 13:30
3201,Dog Individual Neutered Male,MIXED,WHITE/BLACK/BROWN,COOPER,15228,2017,12/28/2016 15:34
3202,Dog Senior Citizen or Disability Neutered Male,SCHNAUZER MIN,SALT/PEPPER,HARRY,15106,2017,12/8/2016 16:23
3203,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,BLACK,DARLIN,15147,2017,12/7/2016 10:50
3204,Dog Senior Citizen or Disability Spayed Female,LHASA APSO,WHITE/YELLOW,POCKET,15108,2017,1/9/2017 15:16
3205,Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,TUNDRA,15102,2017,3/21/2017 15:40
3206,Dog Senior Citizen or Disability Spayed Female,CHINESE CRESTED,OTHER,PEARL,15238,2017,12/13/2016 10:51
3207,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERR MIX,BLACK/BROWN,POOH,15131,2017,2/15/2017 15:53
3208,Dog Senior Citizen or Disability Neutered Male,SHIH TZU,SPOTTED,MOKO,15005,2017,12/14/2016 15:14
3209,Dog Individual Spayed Female,DACHSHUND,BLACK/BROWN,MOCHA LATTE,15237,2017,3/7/2017 16:02
3210,Dog Individual Spayed Female,COCKAPOO,BUFF,PENELOPE,15101,2017,3/7/2017 16:02
3211,Dog Individual Female,POODLE MIN,APRICOT,SHELBY,15084,2017,3/3/2017 15:09
3212,Dog Individual Neutered Male,COCKAPOO,BLACK,OREO,15120,2017,2/15/2017 8:41
